BENZOL WASHER,SUM1,SUM2,SUM3,SUM4,SUM5,SUM6,SUM7,SUM8,SUM9,SUM10,SUM11,SUM12,year1,SUM13,SUM14,SUM15,SUM16,SUM17,SUM18,SUM19,SUM20,SUM21,SUM22,SUM23,SUM24,year2,SUM25,SUM26,SUM27,SUM28,SUM29,SUM30,SUM31,SUM32,year3
BENZOL WASHER INLET GAS TEMP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BENZOL WASHER  OUTLET GAS TEMP,832.12,865.87,1017.63,325.08,0,417.39,417.39,325.08,0,417.39,385.56,385.56,5389.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BENZOL WASHER  INLET OIL TEMP,0,0,9.22,0,0,0,0,0,0,0,31.37,31.37,71.96,0,0,0,26.56,0,0,0,0,0,0,0,0,26.56,0,0,0,0,0,0,0,0,0
BENZOL WASHER  INLET GAS PRESSURE,0,0,0,0,0,0,0,0,0,0,0,0,0,986.05,894.7225,968.26,906.7953704,1015.44,1035.896,1015.44,996.6413793,819.09,819.09,1008.28,1006.98,11472.68525,998.2413333,955.12,955.12,988.31,1312.58,1056.159667,976.52,1094.124333,8336.175333
BENZOL WASHER OUTLET GAS PRESSURE,249.2,258.82,286.16,286.98,266.81,250.1,250.1,286.98,266.81,250.1,285.96,285.96,3223.98,0,0,0,0,0,0,33.75,0,32.25,32.25,0,0,98.25,0,0,0,0,0,0,0,0,0
BENZOL WASHER RESISTANCE,0,-258.82,-275.17,-286.98,-266.81,0,0,-286.98,-266.81,0,-285.96,-285.96,-2213.49,0,0,0,11.93,0,0,0,0,0,0,0,0,11.93,0,24.16,24.16,12.4,0,0,0,0,60.72
BENZOL WASHER LEVEL,445.66,523.83,628.99,417.21,506.79,446.47,446.47,417.21,506.79,446.47,729.78,729.78,6245.45,284.35,261.3003571,291.31,280.8064286,288.03,287.773,288.49,279.2893333,248.5,248.5,283.75,287.98,3330.079119,288.0106667,276.41,276.41,286.44,277.87,273.079,247.05,275.6726667,2200.942333
RICH OIL FLOW(M3/hr),1616.24,1729.06,1812.44,1859.93,1756.32,1595.38,1595.38,1859.93,1756.32,1595.38,1920.04,1920.04,21016.46,-284.35,0,-242.82,-189.2595238,-164.41,-263.0839286,-239.36,-230.5567857,-223.2,-223.2,-228.84,-237.27,0,-288.0106667,-252.25,-252.25,-248.52,-214.85,-259.4493333,0,-262.5493333,-1777.879333
Gas Generation ( NM3 ),31183536,27874104,30765136,32337346,1072364.129,33243288,33243288,32337346,1072364.129,33243288,29195096,30696696,316263852.3,33569760,29347584,1057114.29,33166440,29001624,28633872,30357600,28998288,30757104,28935336,32776152,29999277,336600151.3,26335944,29191872,29234976,32198736,31310040,31432248,30198846,26363376,236266038
GAS YIELD ,10365.86238,9376.399731,10097.74743,10575.46462,344.6585997,10684.41659,10684.41659,10575.46462,344.6585997,10684.41659,10129.84264,9973.079996,103836.4284,10721.16239,0,338.05,0,9630.633026,9823.977875,10474.884,10053.55729,11349.68299,9925.120236,14223.63443,10220.5157,96761.21413,9508.823952,10431.19369,9580.987961,10467.35102,9932.962839,10226.47847,10039.37977,2455968.988,2526156.166
GAS consumption  ( NM3 ),234912,0,0,0,0,0,0,0,0,0,2217,0,237129,0,0,0,2862536,2688644,2636882,2391070,2901133,2763701,2483027,3016676,2795973,24539642,2834215,2910089,2493462,2875035,2317513,2449531,2494947,1587884,19962676
