PCT INLET GAS TEMP,°C,SD,SD,SD,SD,SD,SD,SD,SD,SD,SD,SD,SD,SD,SD,SD,SD,SD,SD,SD,SD,SD,SD,SD,SD,SD,SD,SD,,,,,#DIV/0!,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
PCT OUTLET GAS TEMP,°C,SD,SD,SD,SD,SD,SD,SD,SD,SD,SD,SD,SD,SD,SD,SD,SD,SD,SD,SD,SD,SD,SD,SD,SD,SD,SD,SD,,,,,#DIV/0!,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
FGC INLET GAS TEMP,°C,42.66,42.89,40.44,41.21,40,38.2,38.9,37.05,38.39,40.06,39.87,40,39.28,37.79,35.3,35.83,38.29,40.45,40.74,39.01,39.99,40.04,39.94,40.23,41.47,41.04,40.49,,,,,39.61,,40.61,38.92,38.13,40.2
FGC OUTLET GAS TEMP,°C,27.58,27.39,27.59,28.11,28.6,28,28.6,28.9,28.98,28.2,27.52,27.4,28.29,27.65,27.2,27.83,27.89,28.19,28.2,28.07,28.15,27.95,27.88,28.24,27.89,27.73,28.01,,,,,28,,27.98,28.4,27.78,28.05
FGC INLET GAS PRESSURE,kpa,12.51,12.67,11.54,11.38,11.56,10.8,10.9,10.18,10.49,10.85,11.28,11.11,11.5,10.74,11,11.2,12.18,12.43,12.22,13.1,13.15,13.22,13.28,13.61,13.53,13.5,13.54,,,,,11.98,,11.62,10.87,11.45,13.16
FGC OUTLET GAS PRESSURE,kpa,11.92,12.05,11.07,10.92,11.09,10.4,10.5,9.78,10,10.37,10.82,10.66,11.07,10.35,10.5,10.8,11.63,11.85,11.69,12.5,12.53,12.58,12.69,12.88,12.86,12.83,12.89,,,,,11.45,,10.97,10.42,10.98,12.53
FGC RESISTANCE,kpa,0.59,0.62,0.47,0.46,0.47,0.4,0.4,0.4,0.49,0.48,0.46,0.45,0.43,0.39,0.5,0.4,0.55,0.58,0.53,0.6,0.62,0.64,0.59,0.73,0.67,0.67,0.65,0,0,0,0,0.46,,0.49,0.44,0.47,0.63
FGC CONDENSATE PH VELUE,,No test,No test,No test,No test,No test,No test,No test,No test,No test,No test,No test,No test,No test,No test,No test,No test,No test,No test,No test,No test,No test,No test,No test,No test,No test,No test,No test,,,,,#DIV/0!,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
LOWER COND TEMP AT INELT',°C,33.99,34.29,34.11,33.75,33.12,33.16,33.75,33.2,33.16,33.29,35.08,33.2,33,32.87,32.75,33.04,33.37,33.62,33.29,33.37,33.75,33.5,33.79,33.58,33.7,33.54,33.45,,,,,33.51,,33.74,33.54,33.12,33.57
LOWER COND TEMP AT OUTLET,°C,30.02,31,31.92,31.16,30.58,29.41,31.2,29.29,29.7,30.08,32.2,30.37,30,29.41,29,29.12,29.75,30.12,30.54,31.2,30.33,30.41,31.25,30.91,31.33,30.45,30.2,,,,,30.41,,30.76,30.35,29.68,30.85
UPPER COND TEMPE AT INELT,°C,27.36,27.66,26.67,28.5,28.87,28.54,29.54,29.4,29.91,28.75,27.8,27.41,29.16,28.33,28.08,28.62,28.66,29.25,29.16,28.29,28.33,28.83,28.79,28.41,28.41,28.45,28.75,,,,,28.52,,28.16,29.09,28.68,28.6
UPPER COND TEMPE AT OUTLET,°C,22.18,22.75,22.81,23.54,23.25,22.75,23.66,23.33,23.45,23,22.78,21.91,23.08,22.5,23.04,22.54,22.66,23.29,23,22.62,223.08,22.75,23.12,22.91,22.58,22.87,22.87,,,,,30.31,,22.99,23.17,22.72,51.44
LYE CONSUMPTION,MT,0.183,0.183,0.183,0.183,0.183,0.183,0.183,0.183,0.183,0.183,0.183,0.183,0.183,0.183,0.183,0.183,0.183,0.183,0.183,0.183,0.183,0.183,0.183,0.183,0.183,0.183,0.183,,,,,0.18,4.941,0.18,0.18,0.18,0.18
