LOWER COND TEMP AT INELT',LOWER COND TEMP AT OUTLET,UPPER COND TEMPE AT INELT,UPPER COND TEMPE AT OUTLET,BENZOL WASHER INLET GAS TEMP,BENZOL WASHER  OUTLET GAS TEMP,BENZOL WASHER  INLET OIL TEMP,BENZOL WASHER RESISTANCE,RICH OIL FLOW(M3/hr),RICH OIL INLET TEMP TO PIPEHEATER,RICH OIL PRESSURE AT PIPEHEATER INLET,RICH OIL OUTLET TEMP FROM  PIPEHEATER,RICH OIL PRESSURE AT PIPEHEATER OUTLET,PIPEHEATER MIDDLE TEMP,STEAM INLET TEMP TO PIPEHEATER,STEAM OUTLET TEMP FROM PIPEHEATER,COG FLOW TO PIPEHEATER,COG PRESSURE TO PIPEHEATER,STEAM FLOW TO REGENERATOR (T/hr),STEAM TEMP TO REGENERTOR ,DISTILLATION COLUMN TOP TEMP,DISTILLATION COLUMN BOTTOM TEMP,PRODUCTION (TON),PRODUCT TEMP,CRUDE BENZENE AT <75 C, BENZOL (BTX),Benzene ,Production ,Dispatch,yield  (Dry basis),QI,Moisture,Density ,Dry basis,wet basis ,Actual ,Dry basis,Consumer(from FMD),Flare(Flow meter),Tot Gas to Battry,SAP production,0,SAP production
33.99,30.02,27.36,22.18,27.58,35.97,27.58,3.12,65.39,152.66,0.28,182.19,0.14,390.58,133.11,340.52,265.83,1.17,2.41,340.52,94.27,168.22,26.09,36.29,0.83,88.64,78.96,90,60,0,2.04,1.6,1.17,0,0,0,0,0,0,0,0,0,0
34.29,31,27.66,22.75,27.39,36.58,27.39,3.35,65.58,152.94,0.28,186.62,0.14,392.79,134.12,341.95,261.87,1.15,2.41,341.95,94.3,168.92,27.43,36.2,0.71,88.43,78.77,90,0,0,0,2.5,1.17,0,0,0,0,0,0,0,0,0,0
34.11,31.92,26.67,22.81,27.59,37.54,27.59,2.36,65.43,152.46,0.28,181.96,0.13,391.8,134.66,339.89,259.53,1.14,2.4,339.89,94.29,168.18,26.01,35.32,0.74,88.21,78.81,90,0,0,0,2.2,1.17,0,0,0,0,0,0,0,0,0,0
33.75,31.16,28.5,23.54,28.11,36.7,28.11,2.54,65.46,151.8,0.28,181.4,0.14,391.7,135.75,338.7,263,1.2,2.33,338.7,94.03,167.7,25.11,36.4,0.74,88.67,78.67,90,0,0,0,2,1.17,0,0,0,0,0,0,0,0,0,0
33.12,30.58,28.87,23.25,28.6,36.13,28.6,2.63,65.09,151.2,0.28,180.6,0.14,387.9,135.33,339,260,1.19,2.37,339,94.3,167,25.29,36.3,0.77,88.47,78.94,90,0,0,2.37,1.8,1.17,0,0,0,0,0,0,0,0,0,0
33.16,29.41,28.54,22.75,28,35.91,28,2.22,64.22,148.5,0.28,177.6,0.13,391.2,134.04,337.9,270.8,1.82,2.41,337.9,94.4,164,22.64,36.4,0.69,88.52,78.74,0,70,0,3.13,1.8,1.17,0,0,0,0,0,0,0,0,0,0
33.75,31.2,29.54,23.66,28.6,35.95,28.6,2.9,63.8,144.5,0.26,173.2,0.13,389.5,134.16,330.9,258.4,1.82,2.36,330.9,94.29,159.4,23.26,36.21,0.69,88.66,79.1,90,60,0,2.24,1.6,1.17,0,0,0,0,0,0,0,0,0,0
33.2,29.29,29.4,23.33,28.9,36.27,28.9,2.27,64.15,149.5,0.29,179,0.14,386.5,136.91,330.9,266.5,1.21,2.39,330.9,94.3,164.9,23.25,36,0.69,88.57,78.96,90,175,0,2.21,1.5,1.17,0,0,0,0,0,0,0,0,0,0
33.16,29.7,29.91,23.45,28.98,36.08,28.98,2.56,62.6,150.05,0.28,180.06,0.14,388.11,140.2,334.71,263.67,1.3,2.33,334.71,94.28,166.43,24.42,35.52,0.86,88.99,79.22,90,410,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33.29,30.08,28.75,23,28.2,36.37,28.2,2.7,63.94,151.71,0.28,181.64,0.14,391.17,147.04,337.08,262.75,1.28,2.35,337.08,93.92,168.1,25.04,36.31,0.93,88.86,79.14,90,190,0,2.08,2,1.17,0,0,0,0,0,0,0,0,0,0
35.08,32.2,27.8,22.78,27.52,35.16,27.52,2.83,64,152.63,0.28,182.18,0.14,388.72,149.88,335.91,258.95,1.14,2.39,335.91,94.26,169.14,25.83,35.8,0.88,88.91,80.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33.2,30.37,27.41,21.91,27.4,35.91,27.4,2.7,65.11,153.97,0.28,183.42,0.14,388.09,147.79,336.04,266.97,1.25,2.4,336.04,94.28,170.323,25.2,36.81,0.7,89.04,79.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,30,29.16,23.08,28.29,35.58,28.29,2.9,65.16,152.52,0.29,181.98,0.14,385.73,150.12,339.66,271.89,1.32,2.4,339.66,94.29,168.82,25.2,35.86,0.62,88.76,78.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32.87,29.41,28.33,22.5,27.65,36.91,27.65,3.7,65.9,150.89,0.29,179.93,0.14,385.81,150.12,335.04,265.63,1.28,2.37,335.04,94.26,166.67,24.14,35.84,0.61,89,79.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32.75,29,28.08,23.04,27.2,35.02,27.2,2.86,65.44,146.4,0.29,175.7,0.14,383.4,144.45,326.5,255.1,1.24,2.36,326.5,94.29,162.23,25.29,34.7,0.68,88.95,79.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33.04,29.12,28.62,22.54,27.83,35.33,27.83,2.84,65,149,0.29,178.8,0.14,396,148.75,333.1,259.9,1.1,2.39,333.1,94.27,165.5,25.74,34.5,0.81,88.92,79.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33.37,29.75,28.66,22.66,27.89,35.72,27.89,3.61,65.16,150.47,0.29,180.09,0.14,396.84,150.54,334.63,258.68,1.09,2.4,334.63,94.21,166.77,26.98,34.74,0.88,88.62,79.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33.62,30.12,29.25,23.29,28.19,35.29,28.19,3.56,65.3,150.31,0.29,180.4,0.13,398.41,149.9,335.17,264.77,1.18,2.37,335.17,94.1,166.8,27.42,35.4,0.89,88.78,79.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33.29,30.54,29.16,23,28.2,35.95,28.2,3.29,65.76,150.99,0.29,180.52,0.14,402.49,151.87,346.45,265.95,1.38,2.36,346.45,94.08,166.85,26.28,35.72,0.79,89.79,79.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33.37,31.2,28.29,22.62,28.07,34.83,28.07,3.6,65.59,147.84,0.29,177.58,0.13,403.12,149.4,333.86,266.82,1.46,2.36,333.86,94.3,163.36,27.15,34.06,0.77,88.9,79.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33.75,30.33,28.33,223.08,28.15,34.95,28.15,3.73,65.92,148.86,0.29,178.68,0.13,402.11,149.33,333.56,267.49,1.47,2.37,333.56,94.28,164.8,27.51,34.56,0.7,89.09,79.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33.5,30.41,28.83,22.75,27.95,34.62,27.95,3.64,66.16,147.71,0.29,177.77,0.13,399.49,143.7,327.57,267.42,1.42,2.37,327.57,94.29,164.09,26.9,34.54,0.65,89.62,80.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33.79,31.25,28.79,23.12,27.88,35.87,27.88,3.92,65.41,148.21,0.29,177.4,0.14,400.44,152.08,328.44,266.34,1.43,2.38,328.44,94.37,164.77,28.21,34.88,0.65,88.89,78.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33.58,30.91,28.41,22.91,28.24,35.91,28.24,4.09,65.29,147.29,0.29,177.22,0.14,399.4,153.41,333.29,265.29,1.42,2.37,333.29,94.38,164.17,28.39,34.6,0.6,88.75,78.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33.7,31.33,28.41,22.58,27.89,35.91,27.89,3.73,64.53,151.08,0.29,180.78,0.13,403.04,150.88,337.4,269.24,1.59,2.39,337.4,94.59,167.04,28.74,36.12,0.67,88.68,79.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
