BENZOL WASHER INLET GAS TEMP,BENZOL WASHER  INLET OIL TEMP,RICH OIL FLOW(M3/hr),DISTILLATION COLUMN MIDDLE TEMP,STEAM FLOW TO REGENERATOR (T/hr),STEAM TEMP TO REGENERTOR ,DISTILLATION COLUMN TOP TEMP,DISTILLATION COLUMN BOTTOM TEMP,PRODUCTION (TON),PRODUCT TEMP,PIPEHEATER MIDDLE TEMP,STEAM INLET TEMP TO PIPEHEATER
,27.58,65.39,°C,2.41,340.52,94.27,168.22,26.09,36.29,390.58,133.11
27.58,27.39,65.58,97.12,2.41,341.95,94.3,168.92,27.43,36.2,392.79,134.12
27.39,27.59,65.43,99.59,2.4,339.89,94.29,168.18,26.01,35.32,391.8,134.66
27.59,28.11,65.46,97.03,2.33,338.7,94.03,167.7,25.11,36.4,391.7,135.75
28.11,28.6,65.09,95.6,2.37,339,94.3,167,25.29,36.3,387.9,135.33
28.6,28,64.22,96.4,2.41,337.9,94.4,164,22.64,36.4,391.2,134.04
28,28.6,63.8,95.9,2.36,330.9,94.29,159.4,23.26,36.21,389.5,134.16
28.6,28.9,64.15,95.6,2.39,330.9,94.3,164.9,23.25,36,386.5,136.91
28.9,28.98,62.6,96.3,2.33,334.71,94.28,166.43,24.42,35.52,388.11,140.2
28.98,28.2,63.94,96.45,2.35,337.08,93.92,168.1,25.04,36.31,391.17,147.04
28.2,27.52,64,96.72,2.39,335.91,94.26,169.14,25.83,35.8,388.72,149.88
27.52,27.4,65.11,98.32,2.4,336.04,94.28,170.323,25.2,36.81,388.09,147.79
27.4,28.29,65.16,101.12,2.4,339.66,94.29,168.82,25.2,35.86,385.73,150.12
28.29,27.65,65.9,98.21,2.37,335.04,94.26,166.67,24.14,35.84,385.81,150.12
27.65,27.2,65.44,96.6,2.36,326.5,94.29,162.23,25.29,34.7,383.4,144.45
27.2,27.83,65,94.9,2.39,333.1,94.27,165.5,25.74,34.5,396,148.75
27.83,27.89,65.16,96.13,2.4,334.63,94.21,166.77,26.98,34.74,396.84,150.54
27.89,28.19,65.3,97.31,2.37,335.17,94.1,166.8,27.42,35.4,398.41,149.9
28.19,28.2,65.76,98.2,2.36,346.45,94.08,166.85,26.28,35.72,402.49,151.87
28.2,28.07,65.59,96.65,2.36,333.86,94.3,163.36,27.15,34.06,403.12,149.4
28.07,28.15,65.92,96.68,2.37,333.56,94.28,164.8,27.51,34.56,402.11,149.33
28.15,27.95,66.16,95.38,2.37,327.57,94.29,164.09,26.9,34.54,399.49,143.7
27.95,27.88,65.41,96.38,2.38,328.44,94.37,164.77,28.21,34.88,400.44,152.08
27.88,28.24,65.29,96.27,2.37,333.29,94.38,164.17,28.39,34.6,399.4,153.41
28.24,27.89,64.53,96.22,2.39,337.4,94.59,167.04,28.74,36.12,403.04,150.88
27.89,12.83,65.38,96.31,2.39,344.91,94.6,167.38,28.56,36.48,393.7,153.41
27.73,12.89,65.31,97.26,2.38,339.07,94.3,168.99,28.65,38.2,390.26,151.33
28.01,23.42,65.04,97.19,2.38,292.65,0,0,0,0,393.27,144.9
24.39,27.98,65,0,2.38,338.41,94.27,168,24.89,36.16,390.78,134.45
27.98,28.4,63.97,0,2.37,335.2,94.25,163.68,24.07,36.08,389.01,139.65
28.4,27.78,65.3,0,2.38,334.31,94.24,166.08,25.71,35.41,390.61,149.19
27.78,28.05,65.52,0,2.37,334.37,94.33,165.01,27.6,34.93,401.44,149.8
28.05,31.1,61.32,94.54,175.47,38.24,318.18,0,0,0,0,-47.32
0,30.63,61.46,94.75,179.03,38.5,331.31,0,0,0,0,-45.17
0,31.27,61.31,94.67,180.8,38.77,335.02,0,0,0,0,-44.7
0,32.23,61.4,95.22,180.68,39.48,331.09,0,0,0,0,-44.53
0,36.6,61.97,95.42,182.72,39.48,340.37,0,0,0,0,-43.72
0,33.31,61.73,95.48,184.8,40.03,345.4,0,0,0,0,-44.1
0,32.04,32.93,80.84,139.13,19.62,221.39,0,0,0,0,-33.58
0,30.41,58.71,91.15,182.57,39.2,320.17,0,0,0,0,-48.85
0,30.24,61.99,95.14,173.89,37.26,330.4,0,0,0,0,-44.49
0,29.6,57.48,95.28,185.22,39.18,337.55,0,0,0,0,-44.51
0,30.71,61.81,95.72,180.18,39.85,336.63,0,0,0,0,-44.16
0,30.42,61.32,94.67,181.92,39.42,335.92,0,0,0,0,-48.29
0,30.64,61.64,95.15,182.01,40.31,339.14,0,0,0,0,-43.64
0,30.42,61.5,94.86,181.47,40.18,338.47,0,0,0,0,-43.81
0,30.85,61.8,94.78,182.96,39.97,343.51,0,0,0,0,-47.27
0,30.9,61.5,94.33,181.04,38.98,332.1,0,0,0,0,-45.31
0,39.78,51.89,0,99.14,25.97,297.2,0,0,0,0,-36.27
0,30.6,61.18,0,174.93,37.19,314.32,0,0,0,0,-37.72
0,31.94,61.61,0,181.34,30.99,331.9,0,0,0,0,-38.13
0,30.4,61.55,0,183.46,34.14,338.62,0,0,0,0,-37.73
0,30.85,61.96,78.85,183.13,38.69,336.39,0,0,0,0,-36.26
0,30.69,60.43,95.4,182.81,38.96,333.02,0,0,0,0,-34.72
0,30.79,61.82,94.63,183.87,38.43,334.8,0,0,0,0,-36.04
0,30.99,61.66,94.81,182.91,39.76,331.4,0,0,0,0,-37.21
0,30.9,61.53,94.58,182.64,40.11,327.42,0,0,0,0,-38.49
0,31.13,60.49,94.69,191.45,40.95,324.33,0,0,0,0,-40.41
0,30.69,62.25,94.51,182.69,38.71,331.35,0,0,0,0,-39.53
0,30.09,61.59,94.43,183.87,37.65,332.9,0,0,0,0,-41.17
0,30.2,62.11,94.19,185.58,38.17,334.86,0,0,0,0,-41.39
0,30.21,61.6,94.5,183.31,39.03,328.51,0,0,0,0,-41.33
0,30.77,61.25,94.25,184.35,39.37,328.29,0,0,0,0,-40.14
0,30.19,61.7,94.06,184.64,38.94,331.09,0,0,0,0,-39.29
0,30.82,61.61,94.34,185.84,39.29,328.71,0,0,0,0,-38.04
0,31.44,61.47,94.27,184.49,39.15,324.41,0,0,0,0,-39.52
0,30.54,61.71,94.92,186.74,39.16,319.23,0,0,0,0,-40.57
0,29.54,60.81,94.3,181.13,38.2,314.08,0,0,0,0,-39.84
0,30.52,61.2,94.51,185.67,39.47,321.72,0,0,0,0,-39.92
0,30.62,61.43,94.33,180.72,38.75,326.72,0,0,0,0,-40.52
0,30.47,61.63,94.66,180.23,39.48,334.88,0,0,0,0,-39.2
0,31.14,61.66,93.42,180.9,39.31,335.22,0,0,0,0,-38.53
0,30.8,62.06,94.17,181.5,38.88,332.61,0,0,0,0,-39.37
0,30.04,62.11,94.92,182.71,39.07,330.86,0,0,0,0,-39.47
0,31.08,62.02,94.43,182.9,39.44,331.29,0,0,0,0,-39.24
0,30.02,61.91,95.18,182.82,38.97,330.84,0,0,0,0,-44.05
0,30.98,62.22,95.03,183.79,39.11,333.66,0,0,0,0,-40.85
0,30.57,62.17,95.3,184.62,38.85,332.02,0,0,0,0,-41.27
0,30.52,61.8,95.1,184.29,38.77,331.55,0,0,0,0,-40.08
0,30.87,62.12,94.39,185.2,38.22,330.52,0,0,0,0,-39.21
0,30.92,62.06,94.51,183.56,38.62,331.92,0,0,0,0,-39.98
0,30.01,61.92,94.61,179.35,39.45,330.68,0,0,0,0,-40.23
0,30.45,61.84,94.98,180.85,38.68,326.33,0,0,0,0,-40.26
0,30.18,61.38,94.8,180.76,38.37,325.78,0,0,0,0,-40.82
0,30.64,62.06,94.6,181.73,38.63,325.04,0,0,0,0,-40.29
0,30.46,61.81,94.9,182.25,38.79,323.67,0,0,0,0,-38.43
0,30.55,61.81,94.63,182.55,39.03,324.8,0,0,0,0,-38.06
0,30.63,61.95,93.9,181.6,40.31,322.75,0,0,0,0,-45.45
0,30.08,62.08,94.42,183.21,39.13,327,0,0,0,0,-39.88
0,30.32,62.04,95.08,182.42,39.09,334.38,0,0,0,0,-38.23
0,30.47,62.16,95.28,185.27,38.87,336.41,0,0,0,0,-39.65
0,30.94,62.1,156.77,185.02,39.02,335.36,0,0,0,0,-40.48
0,31.15,62.16,155.8,185.54,39.35,336.19,0,0,0,0,-41.33
0,30.61,62.77,156.53,186.33,39.28,337.4,0,0,0,0,-38.36
0,31.01,62.31,155.52,185.01,39.09,336.43,0,0,0,0,-42.51
0,31.52,62.05,154.75,180.42,39.39,335.02,0,0,0,0,-33.33
0,33.7,62.47,155.86,181.21,39.29,335.56,0,0,0,0,-38.01
0,29.52,56.55,156.02,165.28,35.76,304.4,0,0,0,0,-46.46
0,35.99,54.21,154.12,152.62,28.12,288.36,0,0,0,0,-34.03
0,32.57,61.92,155.24,182.65,39.69,334.12,0,0,0,0,-41.04
0,30.8,61.99,154.56,183.17,39.36,335.02,0,0,0,0,-39.3
0,31.22,61.93,141.65,182.99,39.34,334.2,0,0,0,0,-39.5
0,30.79,62.14,137.7,183.66,40,332.68,0,0,0,0,-38.65
0,9.22,62.26,156.72,183.74,39.68,331.81,0,0,0,0,-38.41
0,32.55,61.91,158.17,183.35,38.85,329.28,0,0,0,0,-37.91
0,32.46,61.94,157.3,183.41,38.94,330.31,0,0,0,0,-37.64
0,32.48,61.6,157.7,183.34,40.01,342.24,0,0,0,0,-38.4
0,32.01,61.61,156.58,185.43,39.96,346.71,0,0,0,0,-39.05
0,32.86,61.8,155.55,184.7,40.2,339.58,0,0,0,0,-38.69
0,32.18,61.75,155.3,182.96,39.68,335.38,0,0,0,0,-38.47
0,32.4,61.77,155.65,183.84,39.67,334.12,0,0,0,0,-38.4
0,32.38,61.91,163.75,182.32,40.22,327.04,0,0,0,0,-37.4
0,33.93,0,164.92,181.37,40.2,322.75,0,0,0,0,-36.89
0,35.53,31.66,155.61,141.1,21,19.16,0,0,0,0,-26.25
0,32.51,58.82,156.37,168.86,38.04,318.81,0,0,0,0,-37.58
0,32.22,61.63,153.56,180.98,39.79,323.41,0,0,0,0,-38.44
0,31.24,61.58,152.56,181.91,40.16,324,0,0,0,0,-39.96
0,31.32,61.37,124,185.23,39.85,334.99,0,0,0,0,-41.56
0,83.39,109.49,148.13,76.16,69.23,74.32,52.82,50.89,50.89,115.58,99.89
87.44,32.62,60.14,150.64,185.43,41.12,333.84,0,0,0,0,-36.64
30.26,30.82,61.39,151.72,184.3,40.45,334.96,0,0,0,0,-36.39
30.22,31.24,62.03,154.11,184.61,40.48,335.3,0,0,0,0,-36.86
30.53,30.42,61.8,96.22,183.2,40.48,34.29,0,0,0,0,-36.95
30.31,30.42,61.76,95.53,183.2,40.48,334.29,0,0,0,0,-37.64
30.12,31.48,61.67,95.43,184.78,40.25,340.96,0,0,0,0,-37.58
30.08,31.56,61.82,95.4,184.4,40.05,341.15,0,0,0,0,-36.82
29.95,30.93,61.47,85.4,185.85,40.21,340.8,0,0,0,0,-37.62
30.88,31.78,62.24,95.18,185.31,39.46,348.92,0,0,0,0,-38.94
32.69,0,0,95.01,0,0,0,0,0,0,0,0
32.15,30.7,62.31,95.4,184.2,39.5,345.9,0,0,0,0,0
29.5,32.62,60.14,95.01,185.43,41.12,333.84,0,0,0,0,-36.64
30.6,32.78,60.09,94.6,184.63,41.09,341.26,0,0,0,0,-35.47
30.6,31.31,62.01,96.22,185.43,40.7,359.82,0,0,0,0,-51.2
30.8,31.4,61.43,94.9,184.24,40.31,359.21,0,0,0,0,-59.46
30.75,31.72,62.03,95.38,186.3,40.42,363.5,0,0,0,0,-50.38
30.28,32.67,62.18,95.44,186.92,41.35,358.16,0,0,0,0,-48.22
30.12,31.52,62.08,95.33,187.48,41.71,335.38,0,0,0,0,-50.37
31.04,31.86,62.23,95.28,186.24,41.61,334.89,0,0,0,0,-51.12
30.5,31.28,62.13,95.31,183.77,41.63,352.58,0,0,0,0,-51.18
31.29,31.7,62.21,95.17,183.76,41.47,353.11,0,0,0,0,-51.12
31.72,31.01,62,95.73,185.1,41.38,355.47,0,0,0,0,-50.83
31.68,31.92,61.99,95.93,186.3,41.23,353.63,0,0,0,0,-50.74
31.01,31.7,62.01,95.56,184.17,40.21,353.8,0,0,0,0,-49.42
31.11,32.07,62.12,95.15,182.27,40.17,350.9,0,0,0,0,-49.29
32.37,32.07,62.24,95.6,184.36,40.44,344.78,0,0,0,0,-49.5
30.7,87.43,116.17,95.41,77.67,70.61,74.58,52.24,50.11,50.11,122.69,108.08
89,31.97,61.69,95.59,183.38,40.24,340,0,0,0,18,-49.36
0,34.66,24.07,3343.08,131.3,12.95,183.99,0,0,0,0,-23.35
0,33.29,60.17,97.8,154.58,35.32,320.51,0,0,0,0,-52.47
0,32.45,61.85,62.15,180.7,39.7,327.25,0,0,0,0,-51.1
