BENZOL WASHER INLET GAS TEMP,BENZOL WASHER  INLET OIL TEMP,RICH OIL FLOW(M3/hr),STEAM FLOW TO REGENERATOR (T/hr),STEAM TEMP TO REGENERTOR ,DISTILLATION COLUMN TOP TEMP,DISTILLATION COLUMN BOTTOM TEMP,PRODUCTION (TON),PRODUCT TEMP,COG Generation,DISTILLATION COLUMN MIDDLE TEMP,FGC OUTLET GAS TEMP
°C,°C,kpa,kpa,TPH,°C,°C,°C,TON,MT,°C,°C
27.58,35.97,3.12,1.17,2.41,340.52,94.27,168.22,26.09,0,97.12,27.58
27.39,36.58,3.35,1.15,2.41,341.95,94.3,168.92,27.43,0,99.59,27.39
27.59,37.54,2.36,1.14,2.4,339.89,94.29,168.18,26.01,0,97.03,27.59
28.11,36.7,2.54,1.2,2.33,338.7,94.03,167.7,25.11,0,95.6,28.11
28.6,36.13,2.63,1.19,2.37,339,94.3,167,25.29,0,96.4,28.6
28,35.91,2.22,1.82,2.41,337.9,94.4,164,22.64,0,95.9,28
28.6,35.95,2.9,1.82,2.36,330.9,94.29,159.4,23.26,0,95.6,28.6
28.9,36.27,2.27,1.21,2.39,330.9,94.3,164.9,23.25,0,96.3,28.9
28.98,36.08,2.56,1.3,2.33,334.71,94.28,166.43,24.42,0,96.45,28.98
28.2,36.37,2.7,1.28,2.35,337.08,93.92,168.1,25.04,0,96.72,28.2
27.52,35.16,2.83,1.14,2.39,335.91,94.26,169.14,25.83,0,98.32,27.52
27.4,35.91,2.7,1.25,2.4,336.04,94.28,170.323,25.2,0,101.12,27.4
28.29,35.58,2.9,1.32,2.4,339.66,94.29,168.82,25.2,0,98.21,28.29
27.65,36.91,3.7,1.28,2.37,335.04,94.26,166.67,24.14,0,96.6,27.65
27.2,35.02,2.86,1.24,2.36,326.5,94.29,162.23,25.29,0,94.9,27.2
27.83,35.33,2.84,1.1,2.39,333.1,94.27,165.5,25.74,0,96.13,27.83
27.89,35.72,3.61,1.09,2.4,334.63,94.21,166.77,26.98,0,97.31,27.89
28.19,35.29,3.56,1.18,2.37,335.17,94.1,166.8,27.42,0,98.2,28.19
28.2,35.95,3.29,1.38,2.36,346.45,94.08,166.85,26.28,0,96.65,28.2
28.07,34.83,3.6,1.46,2.36,333.86,94.3,163.36,27.15,0,96.68,28.07
28.15,34.95,3.73,1.47,2.37,333.56,94.28,164.8,27.51,0,95.38,28.15
27.95,34.62,3.64,1.42,2.37,327.57,94.29,164.09,26.9,0,96.38,27.95
27.88,35.87,3.92,1.43,2.38,328.44,94.37,164.77,28.21,0,96.27,27.88
28.24,35.91,4.09,1.42,2.37,333.29,94.38,164.17,28.39,0,96.22,28.24
27.89,35.91,3.73,1.59,2.39,337.4,94.59,167.04,28.74,0,96.31,27.89
27.73,35.41,3.67,1.14,2.39,344.91,94.6,167.38,28.56,0,97.26,27.73
28.01,35.91,3.85,1,2.38,339.07,94.3,168.99,28.65,0,97.19,28.01
24.39,35.84,2.75,1.3,2.38,292.65,0,0,0,0,0,0
27.98,36.4,2.73,1.36,2.38,338.41,94.27,168,24.89,0,0,0
28.4,35.98,2.59,1.39,2.37,335.2,94.25,163.68,24.07,0,0,0
27.78,35.68,3.17,1.21,2.38,334.31,94.24,166.08,25.71,0,0,0
28.05,35.43,3.71,1.45,2.37,334.37,94.33,165.01,27.6,0,94.54,0
0,30.76,2.3,0.3,175.47,38.24,318.18,0,0,3034.63,94.75,0
0,30,2.08,0.3,179.03,38.5,331.31,0,0,3260.63,94.67,0
0,31.2,2.47,0.3,180.8,38.77,335.02,0,0,3225.02,95.22,0
0,31.6,2.3,0.32,180.68,39.48,331.09,0,0,3277.71,95.42,0
0,31.3,2.2,0.32,182.72,39.48,340.37,0,0,3353.03,95.48,0
0,31.33,1.77,0.31,184.8,40.03,345.4,0,0,3349.09,80.84,0
